,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
54,2023-06-04,CON,DAL,W,6,79.8,76.2,1.01,0.97,25.8,40.0,37.1,29.2,21.4,71.8,50.8,34-33,21.5,22.4,28-62,45.2,24-65,36.9,5-16,31.2,9-26,34.6,19-23,82.6,17-19,89.5
55,2023-06-06,CON,LVA,L,-6,82.7,80.1,1.02,1.12,36.6,23.8,32.4,41.3,27.8,82.8,52.3,34-31,18.3,17.5,29-71,40.8,32-63,50.8,10-26,38.5,4-15,26.7,16-23,69.6,22-26,84.6
56,2023-06-08,CON,LVA,W,17,75.9,75.3,1.25,1.03,20.0,35.0,22.9,28.3,32.3,82.8,56.7,34-26,16.0,21.3,37-70,52.9,28-60,46.7,8-14,57.1,9-21,42.9,12-16,75.0,12-17,70.6
57,2023-06-11,CON,ATL,W,12,88.5,85.0,1.01,0.91,20.6,30.6,41.1,38.7,27.0,70.6,47.9,34-37,18.2,30.6,32-73,43.8,26-62,41.9,4-15,26.7,5-19,26.3,21-30,70.0,20-24,83.3
58,2023-06-15,CON,ATL,L,-4,84.6,87.2,1.05,1.06,20.8,20.0,29.9,28.6,22.0,77.8,44.1,30-38,11.9,20.7,33-77,42.9,36-70,51.4,4-16,25.0,4-14,28.6,18-23,78.3,16-20,80.0
59,2023-06-18,CON,LAS,W,9,75.7,76.4,1.11,0.97,23.4,27.9,17.2,22.1,7.7,73.0,46.0,29-34,16.0,19.7,34-64,53.1,28-68,41.2,6-15,40.0,4-19,21.0,9-11,81.8,14-15,93.3
60,2023-06-20,CON,SEA,W,6,79.0,81.4,1.09,0.98,26.1,39.1,30.4,45.3,22.9,81.1,52.8,38-34,15.4,18.5,32-69,46.4,24-64,37.5,5-18,27.8,8-25,32.0,16-21,76.2,23-29,79.3
61,2023-06-22,CON,MIN,W,21,75.6,78.1,1.19,0.87,41.7,29.0,48.3,25.0,24.2,72.7,52.0,40-37,18.7,11.5,27-60,45.0,24-76,31.6,12-25,48.0,4-22,18.2,23-29,79.3,16-19,84.2
62,2023-06-25,CON,CHI,W,24,83.5,80.1,1.16,0.9,26.2,27.7,11.2,26.2,33.3,77.1,55.9,38-30,16.9,23.8,40-80,50.0,29-65,44.6,8-21,38.1,4-18,22.2,8-9,88.9,10-17,58.8
63,2023-06-27,CON,NYL,L,-8,78.9,76.0,1.04,1.19,24.0,28.6,17.7,20.0,20.0,81.2,47.2,34-38,6.4,12.0,31-79,39.2,34-70,48.6,6-19,31.6,9-20,45.0,13-14,92.9,12-14,85.7
